iter	Passed	Remaining
0	0	54
1	1	50
2	1	48
3	1	46
4	2	49
5	3	51
6	4	53
7	4	54
8	5	54
9	6	54
10	6	54
11	7	54
12	8	54
13	8	53
14	9	53
15	10	52
16	10	51
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	17	44
29	18	43
30	19	42
31	19	41
32	20	41
33	20	40
34	21	40
35	22	39
36	22	39
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	51	2
96	52	1
97	52	1
98	53	0
99	53	0
